:static objects (xdr)
------------------------------------------------
ap1_01_a_aeriala = 63938961,0x03CFA191
ap1_01_a_aerialb = -199425492,0xF41D022C
ap1_01_a_ap1_01_rails_00 = 2017046934,0x7839B196
ap1_01_a_ap1_01_rails_01 = -423850342,0xE6BC8E9A
ap1_01_a_ap1_01_rails_02 = -728831425,0xD48EEA3F
ap1_01_a_ap1_01_rails_03 = -1046887339,0xC199C455
ap1_01_a_ap1_01_rails_04 = -1320213568,0xB14F23C0
ap1_01_a_ap1_01_rails_05 = 915222090,0x368D2E4A
ap1_01_a_ap1_01_rails_06 = 616794807,0x24C38AB7
ap1_01_a_ap1_01_rails_07 = 325478381,0x136667ED
ap1_01_a_ap1_01_roofbar = 115101554,0x06DC4F72
ap1_01_a_ap1_01a_dec00 = -743675684,0xD3AC68DC
ap1_01_a_ap1_01a_dec01 = -916499390,0xC95F5442
ap1_01_a_ap1_01a_dec02 = -274980677,0xEF9C20BB
ap1_01_a_ap1_01a_dec03 = -433451561,0xE62A0DD7
ap1_01_a_ap1_01a_dec04 = 780017278,0x2E7E1E7E
ap1_01_a_ap1_01a_dec05 = 481589995,0x1CB47AEB
ap1_01_a_ap1_01a_dec06 = -1587837877,0xA15B844B
ap1_01_a_ap1_01a_glue_02 = -269909075,0xEFE983AD
ap1_01_a_ap1_01a_ladder_hd_002 = -195274111,0xF45C5A81
ap1_01_a_ap1_01a_ladder_hd_003 = -433144282,0xE62EBE26
ap1_01_a_ap1_01a_ladder_hd_004 = 286200810,0x110F13EA
ap1_01_a_ap1_01a_ladder_hd_005 = 47740793,0x02D87779
ap1_01_a_ap1_01a_ladder_hd_006 = -1952806657,0x8B9A88FF
ap1_01_a_ap1_01a_ladder_hd_007 = 2110844264,0x7DD0ED68
ap1_01_a_ap1_01a_ladder_hd_008 = -1481817820,0xA7AD4124
ap1_01_a_ap1_01a_ladder_hd_01 = 1809462809,0x6BDA3619
ap1_01_a_ap1_01a_weed_01 = 1146432631,0x44552C77
ap1_01_a_ap1_01a_weed_02 = 379179265,0x1699D101
ap1_01_a_ap1_01a_weed_03 = 701003614,0x29C8775E
ap1_01_a_ap1_01a_weed_04 = -90826502,0xFA9618FA
ap1_01_a_ap1_01a_weed_05 = -806108234,0xCFF3C3B6
ap1_01_a_ap1_gm_grnd00 = 633750261,0x25C642F5
ap1_01_a_ap1_gm_grnd01 = 922805610,0x3700E56A
ap1_01_a_ap1_gm_grnd012 = 135140741,0x080E1585
ap1_01_a_ap1_gm_grnd013 = 1409854841,0x5408AD79
ap1_01_a_ap1_gm_grnd03 = 1853707362,0x6E7D5462
ap1_01_a_ap1_gm_grnd04 = 145590464,0x08AD88C0
ap1_01_a_ap1_gm_grnd06 = 743100410,0x2C4ACFFA
ap1_01_a_ap1_gm_grnd07 = -1518943660,0xA576C254
ap1_01_a_ap1_gm_grnd09 = 1358600541,0x50FA995D
ap1_01_a_ap1_gm_grnd11 = -1767463468,0x96A6A5D4
ap1_01_a_ap_cargo_hanr = 2086703506,0x7C609192
ap1_01_a_aprds01 = -1968564048,0x8AAA18B0
ap1_01_a_aprds02 = 2021913700,0x7883F464
ap1_01_a_aprds04 = 536953696,0x20014360
ap1_01_a_aprds07 = 315304120,0x12CB28B8
ap1_01_a_aprds08 = -844489097,0xCDAA1E77
ap1_01_a_aprds09 = -281386601,0xEF3A6197
ap1_01_a_arrowline = -241166262,0xF1A0184A
ap1_01_a_arrows_003 = -1355871399,0xAF2F0B59
ap1_01_a_arrows_004 = -1116330009,0xBD7627E7
ap1_01_a_arrows_005 = 56308604,0x035B337C
ap1_01_a_arrows_01 = -1601131610,0xA090ABA6
ap1_01_a_arrows_02 = 96368132,0x05BE7604
ap1_01_a_beachs00 = -76686228,0xFB6DDC6C
ap1_01_a_beachs01 = -1439450631,0xAA33B9F9
ap1_01_a_beachs02 = -671935113,0xD7F31577
ap1_01_a_centreline_004 = -2077289645,0x842F1353
ap1_01_a_centreline_005 = -1826508488,0x9321B138
ap1_01_a_centreline_006 = -447556195,0xE552D59D
ap1_01_a_centreline_007 = -119669581,0xF8DDFCB3
ap1_01_a_centreline_008 = -1157201659,0xBB068105
ap1_01_a_centreline_009 = -833149018,0xCE5727A6
ap1_01_a_centreline_01 = -671822330,0xD7F4CE06
ap1_01_a_centreline_010 = 2035576706,0x79546F82
ap1_01_a_centreline_02 = -432575861,0xE6376A8B
ap1_01_a_centreline_03 = -1183903493,0xB96F10FB
ap1_01_a_firedecal = -2024351444,0x8756D92C
ap1_01_a_foam01 = -354660070,0xEADC511A
ap1_01_a_foam02 = -58985383,0xFC7BF459
ap1_01_a_foam03 = -684938821,0xD72CA9BB
ap1_01_a_foam04 = -2060941868,0x852885D4
ap1_01_a_foam05 = -1359357578,0xAEF9D976
ap1_01_a_foam06 = -371404997,0xE9DCCF3B
ap1_01_a_glue_01d = -600095932,0xDC3B4344
ap1_01_a_glue_01d2 = 1663822809,0x632BEBD9
ap1_01_a_glue_01d2bv = 977843617,0x3A48B5A1
ap1_01_a_glue_01d2cv = 1706264838,0x65B38906
ap1_01_a_glue_01e = -772133182,0xD1FA2EC2
ap1_01_a_gm_grnd014 = -819268007,0xCF2AF659
ap1_01_a_grnlite_b_018 = 968393305,0x39B88259
ap1_01_a_grnlite_b_1 = -1338610776,0xB0366BA8
ap1_01_a_grnlite_b_10 = 1544405491,0x5C0DC1F3
